competênciamov,região,uf,município,seção,subclasse,saldomovimentação,cbo2002ocupação,categoria,graudeinstrução,idade,horascontratuais,raçacor,sexo,tipoempregador,tipoestabelecimento,tipomovimentação,tipodedeficiência,indtrabintermitente,indtrabparcial,salário,tamestabjan,indicadoraprendiz,origemdainformação,competênciadec,indicadordeforadoprazo,unidadesaláriocódigo,valorsaláriofixo
202002,4,41,410690,J,6201501,1,212405,101,8,22,"40,00",1,3,0,1,20,0,0,0,"2900,00",3,0,1,202002,0,5,"2900,00"
202002,3,35,352590,J,6204000,-1,212405,101,7,22,"44,00",1,1,0,1,40,0,0,0,"2634,30",5,0,1,202002,0,5,"2634,30"
202002,3,33,330455,J,6201501,-1,212420,101,7,22,"40,00",1,3,0,1,31,0,0,0,"984,13",9,0,1,202002,0,5,"984,13"
202002,3,35,350950,J,6209100,-1,212405,101,9,36,"40,00",1,1,0,1,31,0,0,0,"6228,00",8,0,1,202002,0,5,"6228,00"
202002,3,35,355030,J,6204000,1,142520,101,80,38,"40,00",3,3,0,1,20,0,0,0,"22000,00",9,0,1,202002,0,5,"22000,00"
202002,3,35,355030,J,6201501,-1,212420,101,9,24,"40,00",1,1,0,1,40,0,0,0,"3051,39",10,0,1,202002,0,5,"3051,39"
202002,3,35,355030,J,6209100,1,212405,101,80,28,"40,00",3,1,0,1,20,0,0,0,"5100,00",3,0,1,202002,0,5,"5100,00"
202002,2,29,292740,J,6204000,-1,212405,101,9,28,"40,00",3,1,0,1,40,0,0,0,"3762,80",6,0,1,202002,0,5,"3762,80"
202002,3,35,354870,J,6202300,-1,212405,101,9,26,"44,00",1,1,0,1,40,0,0,0,"2000,00",1,0,1,202002,0,5,"2000,00"
202002,3,35,354990,J,6209100,-1,212410,101,9,33,"40,00",1,3,0,1,40,0,0,0,"1675,56",2,0,1,202002,0,5,"1675,56"
202002,3,35,355030,J,6201501,1,142520,101,9,32,"40,00",1,1,0,1,10,0,0,0,"18000,00",1,0,1,202002,0,5,"18000,00"
202002,3,35,354910,J,6202300,-1,212420,101,9,19,"42,00",6,1,0,1,40,0,0,0,"1675,56",4,0,1,202002,0,5,"1675,56"
202002,3,35,355030,J,6201501,1,212405,101,7,21,"40,00",3,1,0,1,20,0,0,0,"5000,00",8,0,1,202002,0,5,"5000,00"
202002,4,42,420460,J,6202300,-1,212405,101,9,21,"40,00",6,1,0,1,31,0,0,0,"1975,76",8,0,1,202002,0,5,"1975,76"
202002,3,31,310620,J,6201501,1,212405,101,9,20,"44,00",3,1,0,1,20,0,0,0,"3000,00",8,0,1,202002,0,5,"3000,00"
202002,3,35,355030,J,6209100,-1,212405,101,9,38,"40,00",1,1,0,1,40,0,0,0,"8148,85",7,0,1,202002,0,5,"8148,85"
202002,3,33,330455,J,6202300,1,212405,101,9,31,"40,00",1,1,0,1,20,0,0,0,"3879,97",5,0,1,202002,0,5,"3879,97"
202002,3,35,352470,J,6201501,1,317210,101,8,46,"40,00",3,1,0,1,20,0,0,0,"1250,00",10,0,1,202002,0,5,"1250,00"
202002,4,42,420540,J,6202300,-1,317110,101,9,38,"44,00",1,1,0,1,40,0,0,0,"4054,07",10,0,1,202002,0,5,"4054,07"
202002,3,35,352470,J,6201501,-1,212405,101,9,27,"40,00",6,3,0,1,40,0,0,0,"8000,00",10,0,1,202002,0,5,"8000,00"
202002,5,53,530010,J,6201501,-1,212405,101,80,33,"40,00",3,1,0,1,40,0,0,0,"6300,00",10,0,1,202002,0,5,"6300,00"
202002,3,35,355030,J,6311900,1,212315,101,8,29,"44,00",2,1,0,1,20,0,0,0,"3000,00",9,0,1,202002,0,5,"3000,00"
202002,5,50,500270,J,6311900,1,212420,101,7,30,"44,00",6,1,0,1,20,0,0,0,"1409,89",6,0,1,202002,0,5,"1409,89"
202002,4,43,431490,J,6203100,1,212420,101,9,21,"40,00",1,3,0,1,20,0,0,0,"2778,00",1,0,1,202002,0,5,"2778,00"
202002,3,35,355030,J,6201501,-1,142520,101,80,29,"40,00",1,1,0,1,40,0,0,0,"11500,00",10,0,1,202002,0,5,"11500,00"
202002,3,35,350570,J,6201501,-1,212420,101,9,25,"40,00",1,3,0,1,40,0,0,0,"4700,00",10,0,1,202002,0,5,"4700,00"
202002,3,35,352470,J,6201501,-1,317210,101,8,23,"40,00",1,1,0,1,40,0,0,0,"1587,00",10,0,1,202002,0,5,"1587,00"
202002,1,17,172100,J,6202300,-1,212405,101,9,21,"44,00",6,1,0,1,31,0,0,0,"2800,00",5,0,1,202002,0,5,"2800,00"
202002,3,31,310620,J,6201501,-1,317110,101,8,19,"40,00",3,1,0,1,40,0,0,0,"3008,10",7,0,1,202002,0,5,"3008,10"
202002,3,35,355030,J,6203100,1,212420,101,9,22,"40,00",1,1,0,1,20,0,0,0,"2200,00",8,0,1,202002,0,5,"2200,00"
202002,1,13,130260,J,6204000,-1,212405,101,9,32,"44,00",1,1,0,1,40,0,0,0,"4200,00",1,0,1,202002,0,5,"4200,00"
202002,3,35,350320,J,6204000,-1,212405,101,9,26,"40,00",3,1,0,1,40,0,0,0,"3552,15",6,0,1,202002,0,5,"3552,15"
202002,3,31,310620,J,6209100,1,212405,101,9,28,"40,00",1,1,0,1,20,0,0,0,"5000,00",5,0,1,202002,0,5,"5000,00"
202002,3,35,354890,J,6201501,1,317110,101,9,23,"40,00",6,1,0,1,20,0,0,0,"2368,75",7,0,1,202002,0,5,"2368,75"
202002,4,41,411370,J,6209100,-1,142510,101,8,40,"44,00",1,1,0,1,60,0,0,0,"5986,08",4,0,1,202002,0,5,"5986,08"
202002,3,35,355030,J,6203100,-1,212410,101,9,33,"40,00",1,1,0,1,43,0,0,0,"4156,03",6,0,1,202002,0,5,"4156,03"
202002,4,42,420540,J,6204000,1,212410,101,5,27,"40,00",1,1,0,1,20,0,0,0,"2500,00",5,0,1,202002,0,5,"2500,00"
202002,3,35,355030,J,6204000,-1,212405,101,9,29,"40,00",3,1,0,1,40,0,0,0,"7829,00",10,0,1,202002,0,5,"7829,00"
202002,5,53,530010,J,6201501,1,212405,101,9,23,"40,00",3,1,0,1,20,0,0,0,"1574,10",10,0,1,202002,0,5,"1574,10"
202002,4,42,420910,J,6311900,-1,317210,101,9,36,"8,00",6,1,0,1,31,0,0,0,"708,51",4,0,1,202002,0,5,"708,51"
202002,4,42,420420,J,6203100,1,317110,101,80,29,"44,00",1,1,0,1,20,0,0,0,"3693,00",7,0,1,202002,0,5,"3693,00"
202002,3,35,353440,J,6201501,-1,212420,101,9,34,"40,00",3,1,0,1,40,0,0,0,"4950,00",9,0,1,202002,0,5,"4950,00"
202002,3,32,320530,J,6201501,1,317205,101,7,31,"36,00",3,1,0,1,20,0,0,0,"1715,00",5,0,1,202002,0,5,"1715,00"
202002,3,35,355030,J,6204000,1,212405,101,9,26,"40,00",1,1,0,1,20,0,0,0,"5500,00",10,0,1,202002,0,5,"5500,00"
202002,3,35,352470,J,6201501,1,212405,101,8,26,"40,00",3,1,0,1,20,0,0,0,"5000,00",10,0,1,202002,0,5,"5000,00"
202002,4,41,410690,J,6209100,-1,142520,101,9,37,"40,00",1,1,0,1,31,0,0,0,"7000,00",6,0,1,202002,0,5,"7000,00"
202002,3,35,353870,J,6202300,-1,212410,101,9,25,"44,00",6,3,0,1,40,0,0,0,"2161,27",5,0,1,202002,0,5,"2161,27"
202002,3,35,352470,J,6201501,-1,317210,101,9,25,"40,00",2,1,0,1,31,0,0,0,"1587,00",10,0,1,202002,0,5,"1587,00"
202002,3,35,354870,J,6209100,-1,212410,101,8,35,"40,00",3,1,0,1,31,0,0,0,"6339,15",2,0,1,202002,0,5,"6339,15"
202002,3,35,355030,J,6201501,1,317110,101,9,34,"40,00",6,1,0,1,20,0,0,0,"6541,23",6,0,1,202002,0,5,"6541,23"
202002,3,33,330455,J,6204000,-1,142530,101,9,35,"40,00",3,1,0,1,40,0,0,0,"7736,30",9,0,1,202002,0,5,"7736,30"
202002,3,35,355030,J,6201501,1,317105,101,9,43,"40,00",1,1,0,1,20,0,0,0,"6205,80",7,0,1,202002,0,5,"6205,80"
202002,3,35,355030,J,6203100,1,317110,101,9,18,"40,00",3,1,0,1,20,0,0,0,"2270,00",10,0,1,202002,0,5,"2270,00"
202002,3,35,350160,J,6201501,-1,317110,101,8,22,"40,00",6,1,0,1,40,0,0,0,"2230,66",8,0,1,202002,0,5,"2230,66"
202002,3,35,355030,J,6209100,-1,212420,101,8,21,"40,00",3,1,0,1,40,0,0,0,"1321,84",6,0,1,202002,0,5,"1321,84"
202002,3,35,350570,J,6201501,1,212405,101,8,35,"40,00",1,1,0,1,20,0,0,0,"4000,00",7,0,1,202002,0,5,"4000,00"
202002,3,35,353440,J,6201501,-1,212405,101,8,23,"40,00",1,1,0,1,40,0,0,0,"4500,26",9,0,1,202002,0,5,"4500,26"
202002,4,41,410690,J,6201501,-1,212405,101,9,35,"40,00",1,1,0,1,40,0,0,0,"7000,00",3,0,1,202002,0,5,"7000,00"
202002,3,31,310620,J,6204000,1,317110,101,8,20,"44,00",1,1,0,1,20,0,0,0,"6000,00",4,0,1,202002,0,5,"6000,00"
202002,3,32,320520,J,6201501,1,317210,101,8,23,"44,00",2,1,0,1,20,0,0,0,"2368,00",7,0,1,202002,0,5,"2368,00"
