competênciamov,região,uf,município,seção,subclasse,saldomovimentação,cbo2002ocupação,categoria,graudeinstrução,idade,horascontratuais,raçacor,sexo,tipoempregador,tipoestabelecimento,tipomovimentação,tipodedeficiência,indtrabintermitente,indtrabparcial,salário,tamestabjan,indicadoraprendiz,origemdainformação,competênciadec,indicadordeforadoprazo,unidadesaláriocódigo,valorsaláriofixo
202207,3,35,355030,J,6204000,-1,212420,101,8,22,"40,00",3,1,0,1,31,0,0,0,"5042,50",6,0,1,202207,0,5,"5042,50"
202207,3,33,330455,J,6202300,-1,317110,101,7,20,"40,00",1,1,0,1,31,0,0,0,"1570,23",4,0,1,202207,0,5,"1570,23"
202207,3,35,352470,J,6203100,-1,212405,101,8,25,"40,00",1,3,0,1,40,0,0,0,"5779,40",10,0,1,202207,0,5,"5779,40"
202207,3,35,355030,J,6209100,1,212405,101,9,23,"44,00",3,1,0,1,97,0,0,0,"8500,00",10,0,1,202207,0,5,"8500,00"
202207,3,35,355030,J,6204000,1,212420,101,80,30,"40,00",1,3,0,1,97,0,0,0,"11000,00",5,0,1,202207,0,5,"11000,00"
202207,3,35,350570,J,6204000,1,317110,101,8,35,"44,00",1,1,0,1,97,0,0,9,"1850,00",6,0,1,202207,0,5,"1850,00"
202207,3,35,350320,J,6204000,1,212405,101,8,32,"40,00",3,1,0,1,97,0,0,0,"1732,36",5,0,1,202207,0,5,"1732,36"
202207,4,43,431490,J,6204000,1,212420,101,9,27,"44,00",1,1,0,1,97,0,0,0,"4500,00",7,0,1,202207,0,5,"4500,00"
202207,3,35,354730,J,6209100,1,317210,101,8,21,"36,00",1,1,0,1,97,0,0,0,"1400,00",9,0,1,202207,0,5,"1400,00"
202207,1,13,130260,J,6201501,1,212405,101,8,20,"44,00",1,3,0,1,97,0,0,0,"5500,00",6,0,1,202207,0,5,"5500,00"
202207,3,35,355030,J,6201501,1,212215,101,9,31,"40,00",1,1,0,1,97,0,0,0,"14000,00",7,0,1,202207,0,5,"14000,00"
202207,2,29,292740,J,6204000,1,212215,101,9,30,"40,00",1,1,0,1,97,0,0,0,"8000,00",9,0,1,202207,0,5,"8000,00"
202207,3,31,314800,J,6202300,-1,317110,101,8,21,"44,00",1,1,0,1,43,0,0,0,"1500,00",5,0,1,202207,0,5,"1500,00"
202207,3,31,310620,J,6201501,1,212415,101,7,27,"44,00",6,1,0,1,97,0,0,0,"1350,00",1,0,1,202207,0,5,"1350,00"
202207,3,35,355030,J,6201501,1,212405,101,9,28,"40,00",1,1,0,1,97,0,0,0,"14000,00",10,0,1,202207,0,5,"14000,00"
202207,3,35,352470,J,6203100,1,212405,101,9,58,"40,00",1,1,0,1,97,1,0,0,"7500,00",10,0,1,202207,0,5,"7500,00"
202207,3,31,310620,J,6201501,-1,212415,101,80,28,"40,00",1,3,0,1,40,0,0,0,"2926,13",7,0,1,202207,0,5,"2926,13"
202207,5,53,530010,J,6204000,-1,142530,101,9,29,"40,00",3,3,0,1,31,0,0,0,"3339,28",10,0,1,202207,0,5,"3339,28"
202207,3,31,314610,J,6311900,1,212405,101,9,31,"40,00",1,1,0,1,97,0,0,0,"4397,00",7,0,1,202207,0,5,"4397,00"
202207,2,23,230440,J,6202300,1,212405,101,9,25,"44,00",3,1,0,1,97,0,0,0,"1212,00",1,0,1,202207,0,5,"1212,00"
202207,5,52,520140,J,6209100,-1,317105,101,7,21,"44,00",6,1,0,1,40,0,0,0,"2664,02",4,0,1,202207,0,5,"2664,02"
202207,4,41,410690,J,6201501,-1,142510,101,9,40,"40,00",1,1,0,1,40,0,0,0,"15561,50",7,0,1,202207,0,5,"15561,50"
202207,3,33,330455,J,6204000,-1,317110,101,8,22,"40,00",2,1,0,1,43,0,0,0,"5500,00",7,0,1,202207,0,5,"5500,00"
