competênciamov,região,uf,município,seção,subclasse,saldomovimentação,cbo2002ocupação,categoria,graudeinstrução,idade,horascontratuais,raçacor,sexo,tipoempregador,tipoestabelecimento,tipomovimentação,tipodedeficiência,indtrabintermitente,indtrabparcial,salário,tamestabjan,indicadoraprendiz,origemdainformação,competênciadec,indicadordeforadoprazo,unidadesaláriocódigo,valorsaláriofixo
202109,3,35,353440,J,6201501,1,212405,101,9,36,"40,00",1,3,0,1,97,0,0,0,"1900,00",9,0,1,202109,0,5,"1900,00"
202109,3,31,317020,J,6204000,-1,142520,101,8,36,"40,00",1,1,0,1,40,0,0,0,"7000,00",9,0,1,202109,0,5,"7000,00"
202109,3,35,355030,J,6202300,1,212420,101,9,23,"40,00",4,3,0,1,97,0,0,0,"2099,58",7,0,1,202109,0,5,"2099,58"
202109,3,35,350570,J,6201501,-1,212405,101,7,31,"40,00",1,1,0,1,40,0,0,0,"4966,72",1,0,1,202109,0,5,"4966,72"
202109,3,35,355030,J,6201501,1,212215,101,9,30,"40,00",4,1,0,1,97,0,0,0,"21000,00",4,0,1,202109,0,5,"21000,00"
202109,3,35,350570,J,6311900,1,212405,101,80,35,"44,00",1,3,0,1,97,0,0,9,"11000,00",7,0,1,202109,0,5,"11000,00"
202109,4,43,431490,J,6201501,1,317110,101,8,21,"44,00",1,1,0,1,97,0,0,0,"3000,00",9,0,1,202109,0,5,"3000,00"
202109,3,35,355030,J,6311900,1,212410,101,9,41,"40,00",3,1,0,1,97,0,0,0,"20000,00",6,0,1,202109,0,5,"20000,00"
202109,3,35,355030,J,6204000,1,212420,101,9,28,"40,00",2,1,0,1,97,0,0,0,"8500,00",5,0,1,202109,0,5,"8500,00"
202109,3,35,352530,J,6202300,1,317210,101,9,36,"44,00",1,1,0,1,97,0,0,0,"2000,00",5,0,1,202109,0,5,"2000,00"
202109,5,53,530010,J,6201501,1,212405,101,80,39,"44,00",1,3,0,1,97,0,0,0,"7376,67",9,0,1,202109,0,5,"7376,67"
202109,3,31,317020,J,6202300,1,317210,101,7,32,"44,00",6,1,0,1,97,0,0,0,"1712,80",5,0,1,202109,0,5,"1712,80"
202109,5,53,530010,J,6201501,1,212405,101,9,23,"44,00",1,1,0,1,97,0,0,0,"5746,81",9,0,1,202109,0,5,"5746,81"
202109,3,35,355030,J,6201501,-1,317210,101,7,19,"40,00",6,3,0,1,40,0,0,0,"1681,34",10,0,1,202109,0,5,"1681,34"
202109,3,33,330455,J,6202300,-1,212405,101,7,35,"44,00",6,1,0,1,40,0,0,0,"10000,00",3,0,1,202109,0,5,"10000,00"
202109,5,53,530010,J,6201501,1,212305,101,9,47,"30,00",1,1,0,1,97,0,0,1,"8000,00",10,0,1,202109,0,5,"8000,00"
202109,3,35,355030,J,6204000,-1,317110,101,9,27,"40,00",1,1,0,1,31,0,0,0,"6000,00",8,0,1,202109,0,5,"6000,00"
202109,3,35,351620,J,6201501,-1,212310,101,8,40,"44,00",1,1,0,1,40,0,0,0,"5931,76",1,0,1,202109,0,5,"5931,76"
202109,3,31,310620,J,6204000,1,212420,101,8,33,"40,00",3,1,0,1,97,0,0,0,"1300,00",9,0,1,202109,0,5,"1300,00"
202109,3,31,310620,J,6201501,1,212405,101,9,39,"40,00",3,1,0,1,97,0,0,0,"3500,00",5,0,1,202109,0,5,"3500,00"
202109,4,42,420540,J,6203100,1,212405,101,80,52,"40,00",1,1,0,1,97,0,0,0,"3570,70",5,0,1,202109,0,5,"3570,70"
202109,3,35,350950,J,6204000,1,212410,101,9,33,"40,00",1,1,0,1,97,0,0,0,"3600,00",5,0,1,202109,0,5,"3600,00"
202109,3,35,355030,J,6201501,1,212405,101,7,26,"40,00",3,1,0,1,97,0,0,0,"12553,58",1,0,1,202109,0,5,"12553,58"
202109,2,29,292740,J,6201501,1,212405,101,8,24,"40,00",3,1,0,1,97,0,0,0,"6200,00",9,0,1,202109,0,5,"6200,00"
202109,4,42,420540,J,6202300,1,317110,101,7,21,"40,00",6,1,0,1,97,0,0,0,"5700,00",10,0,1,202109,0,5,"5700,00"
202109,3,35,355030,J,6209100,1,212420,101,9,30,"40,00",3,1,0,1,97,0,0,0,"2800,00",8,0,1,202109,0,5,"2800,00"
202109,3,31,310620,J,6203100,-1,212405,101,9,28,"40,00",3,3,0,1,40,0,0,0,"5477,50",9,0,1,202109,0,5,"5477,50"
202109,3,33,330455,J,6201501,-1,317110,101,9,44,"40,00",3,1,0,1,40,0,0,0,"8599,00",7,0,1,202109,0,5,"8599,00"
202109,4,43,431870,J,6204000,1,212405,101,8,28,"40,00",1,1,0,1,97,0,0,0,"6509,38",10,0,1,202109,0,5,"6509,38"
202109,4,41,410690,J,6202300,-1,212405,101,9,47,"40,00",1,1,0,1,90,0,0,0,"12000,00",5,0,1,202109,0,5,"12000,00"
202109,3,35,350570,J,6201501,-1,317110,101,9,50,"40,00",6,1,0,1,31,0,0,0,"2044,00",1,0,1,202109,0,5,"2044,00"
202109,3,32,320530,J,6203100,-1,212420,101,7,27,"44,00",6,1,0,1,40,0,0,0,"2650,00",4,0,1,202109,0,5,"2650,00"
202109,2,26,261160,J,6201501,-1,142520,101,9,34,"44,00",1,1,0,1,40,0,0,9,"21260,00",8,0,1,202109,0,5,"21260,00"
202109,3,33,330455,J,6209100,-1,317210,101,80,57,"40,00",1,3,0,1,31,0,0,0,"3090,44",8,0,1,202109,0,5,"3090,44"
