competênciamov,região,uf,município,seção,subclasse,saldomovimentação,cbo2002ocupação,categoria,graudeinstrução,idade,horascontratuais,raçacor,sexo,tipoempregador,tipoestabelecimento,tipomovimentação,tipodedeficiência,indtrabintermitente,indtrabparcial,salário,tamestabjan,indicadoraprendiz,origemdainformação,competênciadec,indicadordeforadoprazo,unidadesaláriocódigo,valorsaláriofixo
202201,3,31,317020,J,6204000,-1,142520,101,9,25,"40,00",1,1,0,1,40,0,0,0,"7900,00",10,0,1,202201,0,5,"7900,00"
202201,2,26,261160,J,6203100,-1,212425,101,7,25,"40,00",6,3,0,1,40,0,0,0,"5872,29",7,0,1,202201,0,5,"5872,29"
202201,5,53,530010,J,6201501,1,212405,101,9,39,"44,00",6,1,0,1,97,0,0,0,"7300,00",9,0,1,202201,0,5,"7300,00"
202201,3,35,355030,J,6204000,-1,212405,101,9,30,"40,00",3,1,0,1,40,0,0,0,"4035,24",7,0,1,202201,0,5,"4035,24"
202201,3,35,355030,J,6201501,1,212405,101,9,31,"40,00",1,1,0,1,97,0,0,0,"5522,08",6,0,1,202201,0,5,"5522,08"
202201,3,33,330330,J,6202300,1,317110,101,9,28,"40,00",4,3,0,1,97,0,0,0,"4116,00",2,0,1,202201,0,5,"4116,00"
202201,4,42,420910,J,6209100,-1,317110,101,9,42,"44,00",6,1,0,1,43,0,0,0,"2600,00",2,0,1,202201,0,5,"2600,00"
202201,4,43,431490,J,6203100,-1,212405,101,7,27,"40,00",6,1,0,1,40,0,0,0,"5000,00",8,0,1,202201,0,5,"5000,00"
202201,3,35,355030,J,6202300,1,317110,101,80,34,"44,00",3,1,0,1,97,0,0,0,"18000,00",3,0,1,202201,0,5,"18000,00"
202201,4,42,420830,J,6202300,-1,317110,101,7,23,"44,00",1,1,0,1,40,0,0,0,"1862,00",4,0,1,202201,0,5,"1862,00"
202201,2,26,261160,J,6201501,1,212405,101,9,33,"40,00",3,3,0,1,97,0,0,0,"18000,00",8,0,1,202201,0,5,"18000,00"
202201,4,42,420240,J,6201501,1,317210,101,9,29,"40,00",1,1,0,1,97,0,0,0,"2473,00",8,0,1,202201,0,5,"2473,00"
202201,3,35,350320,J,6209100,-1,212405,101,7,26,"40,00",6,1,0,1,40,0,0,0,"3500,00",7,0,1,202201,0,5,"3500,00"
202201,3,35,350570,J,6201501,1,212405,101,8,19,"40,00",6,1,0,1,97,0,0,0,"3200,00",8,0,1,202201,0,5,"3200,00"
202201,3,35,350570,J,6203100,-1,212405,101,9,32,"40,00",3,1,0,1,40,0,0,0,"7524,92",10,0,1,202201,0,5,"7524,92"
202201,3,35,350950,J,6203100,1,212405,101,9,27,"40,00",1,1,0,1,97,0,0,0,"6000,00",8,0,1,202201,0,5,"6000,00"
202201,3,35,355030,J,6202300,-1,212420,101,9,31,"40,00",1,3,0,1,40,0,0,0,"2770,99",4,0,1,202201,0,5,"2770,99"
202201,3,31,317020,J,6209100,1,317110,101,8,23,"44,00",1,1,0,1,97,0,0,9,"5500,00",5,0,1,202201,0,5,"5500,00"
202201,3,35,355030,J,6209100,1,317210,101,9,42,"40,00",3,1,0,1,97,0,0,0,"1704,66",10,0,1,202201,0,5,"1704,66"
202201,4,41,411990,J,6209100,1,317210,101,7,20,"36,00",1,1,0,1,97,0,0,0,"1614,00",5,0,1,202201,0,5,"1614,00"
202201,3,35,355030,J,6204000,1,317210,101,8,19,"40,00",1,3,0,1,97,0,0,0,"2500,00",9,0,1,202201,0,5,"2500,00"
202201,3,35,354730,J,6209100,1,212405,101,8,27,"40,00",1,1,0,1,97,0,0,0,"6900,00",9,0,1,202201,0,5,"6900,00"
202201,3,35,355030,J,6202300,1,212405,101,8,31,"40,00",1,3,0,1,97,0,0,0,"2717,00",6,0,1,202201,0,5,"2717,00"
202201,3,35,355030,J,6203100,1,212405,101,9,30,"44,00",1,1,0,1,97,0,0,0,"6000,00",4,0,1,202201,0,5,"6000,00"
202201,4,42,420240,J,6204000,-1,212420,101,8,26,"44,00",1,1,0,1,40,0,0,0,"3689,46",6,0,1,202201,0,5,"3689,46"
202201,3,35,354730,J,6204000,1,212405,101,9,45,"40,00",6,1,0,1,97,0,0,0,"11200,00",8,0,1,202201,0,5,"11200,00"
202201,3,35,350950,J,6201501,1,212405,101,9,30,"44,00",1,1,0,1,97,0,0,9,"8546,00",10,0,1,202201,0,5,"8546,00"
202201,3,35,354730,J,6209100,-1,317110,101,9,35,"40,00",3,1,0,1,40,0,0,0,"8051,34",9,0,1,202201,0,5,"8051,34"
202201,5,53,530010,J,6203100,1,212405,101,9,27,"44,00",3,3,0,1,97,0,0,0,"3546,00",8,0,1,202201,0,5,"3546,00"
202201,4,41,411990,J,6202300,1,317210,101,9,28,"40,00",3,1,0,1,97,0,0,0,"2630,75",7,0,1,202201,0,5,"2630,75"
202201,4,43,431410,J,6201501,1,317110,101,10,48,"40,00",1,1,0,1,97,0,0,0,"6303,60",10,0,1,202201,0,5,"6303,60"
202201,2,26,261160,J,6201501,1,212405,101,8,25,"40,00",3,1,0,1,97,0,0,0,"2685,00",5,0,1,202201,0,5,"2685,00"
202201,3,33,330455,J,6201501,1,317110,101,9,37,"40,00",1,1,0,1,97,0,0,0,"9850,00",9,0,1,202201,0,5,"9850,00"
202201,3,31,317020,J,6201501,1,212405,101,8,22,"40,00",2,1,0,1,97,0,0,0,"5300,00",10,0,1,202201,0,5,"5300,00"
202201,3,35,355030,J,6204000,-1,212405,101,9,58,"44,00",3,1,0,1,40,0,0,9,"8365,54",10,0,1,202201,0,5,"8365,54"
202201,2,23,230440,J,6209100,1,212420,101,9,39,"44,00",3,1,0,1,97,0,0,0,"2528,40",2,0,1,202201,0,5,"2528,40"
202201,3,33,330455,J,6201501,1,317110,101,9,26,"40,00",1,1,0,1,97,0,0,0,"6000,00",8,0,1,202201,0,5,"6000,00"
202201,3,33,330455,J,6202300,1,212420,101,80,38,"45,00",1,1,0,1,97,0,0,0,"3000,00",4,0,1,202201,0,5,"3000,00"
202201,3,35,355030,J,6203100,1,317110,101,8,25,"40,00",2,1,0,1,97,0,0,0,"3150,00",6,0,1,202201,0,5,"3150,00"
202201,4,43,431410,J,6209100,-1,317210,101,7,20,"44,00",1,1,0,1,40,0,0,0,"1500,00",5,0,1,202201,0,5,"1500,00"
202201,3,35,352900,J,6209100,1,212420,101,7,19,"44,00",1,1,0,1,97,0,0,0,"1534,00",4,0,1,202201,0,5,"1534,00"
202201,3,35,354730,J,6209100,-1,212405,101,80,46,"40,00",3,1,0,1,40,0,0,0,"7000,00",9,0,1,202201,0,5,"7000,00"
202201,3,35,355030,J,6204000,-1,212405,101,8,64,"40,00",1,1,0,1,31,0,0,0,"2164,48",7,0,1,202201,0,5,"2164,48"
202201,3,35,355030,J,6201501,-1,212420,101,8,37,"40,00",1,1,0,1,40,0,0,0,"2800,00",5,0,1,202201,0,5,"2800,00"
202201,4,42,421660,J,6209100,-1,317210,101,8,22,"44,00",3,1,0,1,40,0,0,0,"2000,00",9,0,1,202201,0,5,"2000,00"
202201,3,33,330580,J,6209100,-1,317210,101,9,31,"42,00",6,1,0,1,40,0,0,0,"1667,00",10,0,1,202201,0,5,"1667,00"
202201,3,33,330330,J,6203100,-1,317210,101,9,28,"36,00",3,1,0,1,40,0,0,0,"1570,23",6,0,1,202201,0,5,"1570,23"
202201,3,31,317020,J,6202300,-1,317210,101,8,25,"44,00",1,3,0,1,40,0,0,0,"2668,80",6,0,1,202201,0,5,"2668,80"
202201,3,33,330455,J,6204000,-1,142510,101,10,44,"40,00",1,3,0,1,40,0,0,0,"10000,00",6,0,1,202201,0,5,"10000,00"
202201,3,35,355030,J,6311900,1,212405,101,8,27,"40,00",6,3,0,1,97,0,0,0,"3781,25",5,0,1,202201,0,5,"3781,25"
202201,3,35,355030,J,6203100,1,317210,101,8,22,"40,00",6,3,0,1,97,0,0,0,"1598,00",5,0,1,202201,0,5,"1598,00"
202201,3,35,350570,J,6209100,-1,212320,101,80,33,"44,00",3,1,0,1,40,0,0,9,"13568,24",10,0,1,202201,0,5,"13568,24"
202201,4,43,431490,J,6204000,1,317110,101,8,23,"44,00",1,1,0,1,97,0,0,0,"3731,86",7,0,1,202201,0,5,"3731,86"
202201,3,31,317020,J,6201501,1,142510,101,9,35,"44,00",1,1,0,1,97,0,0,9,"14500,00",10,0,1,202201,0,5,"14500,00"
202201,3,35,355030,J,6201501,1,212420,101,9,38,"40,00",1,1,0,1,97,0,0,0,"1751,00",5,0,1,202201,0,5,"1751,00"
202201,3,35,353440,J,6201501,-1,212405,101,9,39,"40,00",3,1,0,1,40,0,0,0,"2600,00",9,0,1,202201,0,5,"2600,00"
202201,4,42,420420,J,6204000,1,212420,101,7,24,"44,00",6,1,0,1,97,0,0,0,"3000,00",2,0,1,202201,0,5,"3000,00"
202201,4,41,411370,J,6201501,-1,212405,101,9,36,"44,00",6,1,0,1,31,0,0,0,"2500,00",5,0,1,202201,0,5,"2500,00"
202201,3,31,317020,J,6201501,1,317110,101,8,35,"44,00",1,3,0,1,97,0,0,0,"5213,70",8,0,1,202201,0,5,"5213,70"
202201,4,43,431490,J,6204000,1,317210,101,7,33,"30,00",3,1,0,1,97,0,0,0,"1440,00",8,0,1,202201,0,5,"1440,00"
202201,4,42,420910,J,6202300,1,212420,101,9,30,"40,00",1,3,0,1,97,0,0,0,"2323,00",8,0,1,202201,0,5,"2323,00"
202201,2,26,261160,J,6204000,-1,317110,101,9,26,"40,00",3,3,0,1,31,0,0,0,"2132,82",5,0,1,202201,0,5,"2132,82"
202201,4,43,431560,J,6201501,1,317110,101,8,27,"40,00",3,1,0,1,97,0,0,0,"2116,52",7,0,1,202201,0,5,"2116,52"
202201,3,33,330455,J,6202300,1,317210,101,8,27,"40,00",6,1,0,1,97,0,0,0,"1603,24",5,0,1,202201,0,5,"1603,24"
202201,4,42,420540,J,6201501,1,317110,101,9,39,"40,00",1,1,0,1,97,0,0,0,"9700,00",8,0,1,202201,0,5,"9700,00"
202201,3,35,355030,J,6201501,1,212405,101,9,34,"44,00",3,1,0,1,97,0,0,0,"11500,00",7,0,1,202201,0,5,"11500,00"
202201,5,51,510340,J,6209100,1,212420,101,8,46,"40,00",6,3,0,1,97,0,0,0,"1500,00",10,0,1,202201,0,5,"1500,00"
202201,3,31,310620,J,6209100,1,212420,101,9,36,"44,00",3,1,0,1,97,0,0,9,"3500,00",5,0,1,202201,0,5,"3500,00"
202201,3,35,352530,J,6311900,1,142510,101,7,20,"44,00",1,1,0,1,97,0,0,0,"12000,00",5,0,1,202201,0,5,"12000,00"
202201,3,31,310620,J,6201501,-1,317110,101,9,36,"44,00",6,1,0,1,40,0,0,0,"7786,04",6,0,1,202201,0,5,"7786,04"
202201,3,35,355030,J,6201501,-1,212405,101,9,23,"40,00",1,1,0,1,40,0,0,0,"4375,00",8,0,1,202201,0,5,"4375,00"
202201,4,43,431490,J,6209100,1,317205,101,7,19,"44,00",6,1,0,1,97,0,0,0,"1420,00",2,0,1,202201,0,5,"1420,00"
202201,4,43,430510,J,6202300,1,212420,101,8,20,"44,00",1,1,0,1,97,0,0,0,"5250,00",8,0,1,202201,0,5,"5250,00"
202201,4,41,410690,J,6204000,-1,212405,101,8,20,"40,00",6,1,0,1,40,0,0,0,"4151,80",3,0,1,202201,0,5,"4151,80"
202201,3,35,350160,J,6203100,1,212415,101,8,28,"44,00",6,1,0,1,97,0,0,9,"3938,00",7,0,1,202201,0,5,"3938,00"
202201,3,32,320530,J,6209100,1,212405,101,9,37,"40,00",3,1,0,1,97,0,0,0,"3500,00",6,0,1,202201,0,5,"3500,00"
202201,4,42,420540,J,6311900,-1,317205,101,7,28,"36,00",3,3,0,1,43,0,0,0,"1100,00",10,0,1,202201,0,5,"1100,00"
202201,3,35,352590,J,6311900,-1,212405,101,9,25,"40,00",3,1,0,1,40,0,0,0,"2673,00",2,0,1,202201,0,5,"2673,00"
202201,3,35,352590,J,6209100,-1,212420,101,9,28,"44,00",3,1,0,1,31,0,0,0,"2300,00",4,0,1,202201,0,5,"2300,00"
202201,5,52,520140,J,6209100,1,317110,101,8,22,"44,00",3,1,0,1,97,0,0,0,"2200,00",3,0,1,202201,0,5,"2200,00"
202201,3,35,355030,J,6201501,1,317105,101,8,19,"40,00",1,1,0,1,97,0,0,0,"2400,00",5,0,1,202201,0,5,"2400,00"
202201,3,33,330455,J,6204000,1,212405,101,9,31,"40,00",3,1,0,1,97,0,0,0,"6734,00",5,0,1,202201,0,5,"6734,00"
202201,4,43,431490,J,6203100,1,212315,101,8,26,"40,00",1,1,0,1,97,0,0,0,"5800,00",4,0,1,202201,0,5,"5800,00"
202201,4,43,431490,J,6203100,1,212405,101,7,48,"40,00",6,1,0,1,97,0,0,0,"3330,00",5,0,1,202201,0,5,"3330,00"
202201,3,35,355240,J,6203100,-1,317210,101,7,29,"44,00",1,1,0,1,31,0,0,0,"1460,00",2,0,1,202201,0,5,"1460,00"
202201,3,35,352470,J,6203100,1,212420,101,8,29,"40,00",2,1,0,1,97,0,0,0,"1812,28",10,0,1,202201,0,5,"1812,28"
202201,3,35,355030,J,6203100,1,317110,101,9,19,"40,00",6,1,0,1,97,0,0,0,"2500,00",7,0,1,202201,0,5,"2500,00"
202201,5,52,520870,J,6203100,-1,317210,101,7,24,"44,00",6,1,0,1,40,0,0,0,"1500,00",5,0,1,202201,0,5,"1500,00"
202201,4,42,420930,J,6202300,1,212405,101,8,25,"40,00",3,1,0,1,97,0,0,0,"7300,00",8,0,1,202201,0,5,"7300,00"
