competênciamov,região,uf,município,seção,subclasse,saldomovimentação,cbo2002ocupação,categoria,graudeinstrução,idade,horascontratuais,raçacor,sexo,tipoempregador,tipoestabelecimento,tipomovimentação,tipodedeficiência,indtrabintermitente,indtrabparcial,salário,tamestabjan,indicadoraprendiz,origemdainformação,competênciadec,indicadordeforadoprazo,unidadesaláriocódigo,valorsaláriofixo
202205,3,35,355030,J,6201501,-1,212405,101,9,41,"40,00",1,3,0,1,40,0,0,0,"12322,48",9,0,1,202205,0,5,"12322,48"
202205,3,31,310620,J,6201501,-1,212405,101,9,29,"40,00",1,1,0,1,40,0,0,0,"10600,00",9,0,1,202205,0,5,"10600,00"
202205,3,33,330455,J,6201501,1,212405,101,9,36,"40,00",3,1,0,1,97,0,0,0,"7526,14",8,0,1,202205,0,5,"7526,14"
202205,3,35,354990,J,6209100,-1,212405,101,9,27,"40,00",3,1,0,1,31,0,0,0,"2029,09",3,0,1,202205,0,5,"2029,09"
202205,3,35,355030,J,6203100,1,212405,101,9,29,"40,00",6,1,0,1,97,0,0,0,"3700,00",5,0,1,202205,0,5,"3700,00"
202205,3,35,355030,J,6201501,-1,212405,101,8,29,"40,00",1,3,0,1,31,0,0,0,"6000,00",9,0,1,202205,0,5,"6000,00"
202205,3,35,350570,J,6201501,-1,212405,101,9,31,"40,00",2,1,0,1,40,0,0,0,"3203,20",9,0,1,202205,0,5,"3203,20"
202205,4,43,431490,J,6201501,1,212405,101,7,34,"40,00",2,1,0,1,97,0,0,0,"9857,92",2,0,1,202205,0,5,"9857,92"
202205,3,33,330455,J,6204000,1,317210,101,7,30,"18,67",3,1,0,1,97,0,0,0,"1571,17",7,0,1,202205,0,5,"1571,17"
202205,2,26,261160,J,6209100,-1,317210,101,9,39,"45,00",1,1,0,1,40,0,0,0,"1622,25",4,0,1,202205,0,5,"1622,25"
202205,4,41,410840,J,6201501,1,317210,101,8,28,"44,00",6,3,0,1,97,0,0,0,"1481,38",6,0,1,202205,0,5,"1481,38"
202205,3,35,355030,J,6209100,1,212405,101,9,21,"44,00",1,3,0,1,97,0,0,0,"8433,79",10,0,1,202205,0,5,"8433,79"
202205,5,53,530010,J,6201501,1,212405,101,80,31,"40,00",1,3,0,1,97,0,0,0,"2298,00",1,0,1,202205,0,5,"2298,00"
202205,4,42,420540,J,6203100,1,317110,101,9,32,"40,00",6,3,0,1,97,0,0,0,"5300,00",6,0,1,202205,0,5,"5300,00"
202205,3,35,353060,J,6209100,-1,212405,101,9,26,"40,00",1,1,0,1,40,0,0,0,"5552,85",5,0,1,202205,0,5,"5552,85"
202205,2,26,261160,J,6201501,1,212405,101,9,23,"30,00",3,1,0,1,97,0,0,0,"2181,00",8,0,1,202205,0,5,"2181,00"
202205,3,35,355030,J,6201501,1,212405,101,8,33,"44,00",1,1,0,1,97,0,0,0,"14500,00",8,0,1,202205,0,5,"14500,00"
202205,4,41,410690,J,6201501,1,317110,101,9,33,"40,00",1,1,0,1,97,0,0,0,"10000,00",7,0,1,202205,0,5,"10000,00"
202205,2,23,230440,J,6202300,1,212405,101,7,21,"44,00",6,1,0,1,97,0,0,0,"3000,00",5,0,1,202205,0,5,"3000,00"
