competênciamov,região,uf,município,seção,subclasse,saldomovimentação,cbo2002ocupação,categoria,graudeinstrução,idade,horascontratuais,raçacor,sexo,tipoempregador,tipoestabelecimento,tipomovimentação,tipodedeficiência,indtrabintermitente,indtrabparcial,salário,tamestabjan,indicadoraprendiz,origemdainformação,competênciadec,indicadordeforadoprazo,unidadesaláriocódigo,valorsaláriofixo
202309,3,35,355030,J,6209100,1,212420,101,9,40,44,3,1,0,1,97,0,0,0,1547.1,10,0,1,202309,0,5,1547.1
202309,2,22,221100,J,6209100,-1,317210,101,7,25,44,3,1,0,1,31,0,0,0,2232.27,4,0,1,202309,0,5,2232.27
202309,3,31,310620,J,6202300,-1,212405,101,9,25,40,6,1,0,1,31,0,0,0,7886.25,10,0,1,202309,0,5,7886.25
202309,2,26,261160,J,6311900,-1,212405,101,9,38,44,3,1,0,1,31,0,0,0,4000,2,0,1,202309,0,5,4000
202309,3,31,310620,J,6209100,-1,317205,101,8,36,36,1,1,0,1,40,0,0,0,2150,9,0,1,202309,0,5,2150
202309,3,35,352470,J,6201501,1,212405,101,11,53,40,1,1,0,1,97,0,0,0,7500,10,0,1,202309,0,5,7500
202309,5,53,530010,J,6201501,1,142535,101,9,27,36,1,3,0,1,97,0,0,0,2131.0801,10,0,1,202309,0,5,2131.0801
202309,3,33,330455,J,6311900,-1,317210,101,9,28,40,2,3,0,1,31,0,0,0,2222.3799,4,0,1,202309,0,5,2222.3799
202309,4,42,420910,J,6202300,1,212420,101,8,29,44,1,3,0,1,97,0,0,0,2700,5,0,1,202309,0,5,2700
202309,3,35,355030,J,6209100,1,317110,101,8,39,40,1,3,0,1,97,0,0,0,9500,8,0,1,202309,0,5,9500
202309,4,42,420540,J,6203100,-1,212420,101,8,20,44,6,1,0,1,31,0,0,0,4200,4,0,1,202309,0,5,4200
202309,3,33,330330,J,6204000,1,212410,101,9,45,40,3,3,0,1,97,0,0,0,3500,8,0,1,202309,0,5,3500
202309,5,53,530010,J,6201501,1,212410,101,7,45,44,3,1,0,1,97,0,0,0,4000,10,0,1,202309,0,5,4000
202309,3,35,354340,J,6202300,1,317110,101,9,24,40,1,1,0,1,97,0,0,0,5292.0601,8,0,1,202309,0,5,5292.0601
202309,3,31,310620,J,6209100,1,317110,101,9,39,44,2,1,0,1,97,0,0,0,1800,3,0,1,202309,0,5,1800
202309,3,35,355030,J,6209100,-1,317110,101,9,29,40,2,1,0,1,40,0,0,0,4000,5,0,1,202309,0,5,4000
