competênciamov,região,uf,município,seção,subclasse,saldomovimentação,cbo2002ocupação,categoria,graudeinstrução,idade,horascontratuais,raçacor,sexo,tipoempregador,tipoestabelecimento,tipomovimentação,tipodedeficiência,indtrabintermitente,indtrabparcial,salário,tamestabjan,indicadoraprendiz,origemdainformação,competênciadec,indicadordeforadoprazo,unidadesaláriocódigo,valorsaláriofixo
202302,3,35,355030,J,6201501,-1,212405,101,8,30,"40,00",2,1,0,1,31,0,0,0,"7603,44",10,0,1,202302,0,5,"7603,44"
202302,4,41,411520,J,6202300,1,212420,101,8,25,"44,00",3,1,0,1,97,0,0,0,"2000,00",6,0,1,202302,0,5,"2000,00"
202302,3,31,310620,J,6204000,1,212305,101,9,39,"40,00",3,3,0,1,97,0,0,0,"7000,00",10,0,1,202302,0,5,"7000,00"
202302,3,35,350950,J,6201501,-1,212405,101,9,29,"44,00",1,1,0,1,31,0,0,9,"8421,00",10,0,1,202302,0,5,"8421,00"
202302,3,35,355030,J,6209100,-1,212405,101,8,32,"40,00",3,1,0,1,31,0,0,0,"2953,88",6,0,1,202302,0,5,"2953,88"
202302,3,33,330455,J,6311900,-1,317205,101,80,38,"44,00",1,1,0,1,40,0,0,0,"10000,00",4,0,1,202302,0,5,"10000,00"
202302,4,42,420910,J,6209100,-1,212420,101,9,34,"36,00",3,1,0,1,40,0,0,0,"1910,54",6,0,1,202302,0,5,"1910,54"
202302,3,35,352470,J,6201501,-1,212405,101,9,29,"40,00",1,1,0,1,31,0,0,0,"8316,00",10,0,1,202302,0,5,"8316,00"
202302,3,35,355030,J,6201501,-1,317110,101,9,32,"40,00",4,1,0,1,40,0,0,0,"18100,00",8,0,1,202302,0,5,"18100,00"
202302,3,31,310620,J,6201501,1,142510,101,8,29,"40,00",6,1,0,1,97,0,0,0,"20000,00",10,0,1,202302,0,5,"20000,00"
202302,3,35,355030,J,6209100,1,212420,101,80,33,"40,00",1,3,0,1,97,0,0,0,"10000,00",6,0,1,202302,0,5,"10000,00"
202302,3,35,352470,J,6201501,-1,212420,101,8,25,"40,00",3,1,0,1,40,0,0,0,"2182,95",10,0,1,202302,0,5,"2182,95"
