competênciamov,região,uf,município,seção,subclasse,saldomovimentação,cbo2002ocupação,categoria,graudeinstrução,idade,horascontratuais,raçacor,sexo,tipoempregador,tipoestabelecimento,tipomovimentação,tipodedeficiência,indtrabintermitente,indtrabparcial,salário,tamestabjan,indicadoraprendiz,origemdainformação,competênciadec,indicadordeforadoprazo,unidadesaláriocódigo,valorsaláriofixo
202212,3,33,330330,J,6204000,-1,317110,101,9,26,"40,00",1,1,0,1,31,0,0,0,"4715,67",8,0,1,202212,0,5,"4715,67"
202212,2,23,230440,J,6202300,-1,142530,101,9,46,"42,50",3,1,0,1,31,0,0,0,"30629,00",8,0,1,202212,0,5,"30629,00"
202212,3,31,317020,J,6202300,-1,212320,101,9,27,"44,00",1,3,0,1,31,0,0,0,"3988,36",6,0,1,202212,0,5,"3988,36"
202212,4,43,431410,J,6201501,-1,317110,101,8,31,"40,00",1,3,0,1,40,0,0,0,"7036,70",10,0,1,202212,0,5,"7036,70"
202212,3,35,350950,J,6201501,-1,212405,101,80,29,"40,00",1,1,0,1,40,0,0,0,"10000,00",6,0,1,202212,0,5,"10000,00"
202212,3,31,317020,J,6204000,-1,212405,101,9,29,"40,00",3,3,0,1,40,0,0,0,"7500,00",8,0,1,202212,0,5,"7500,00"
202212,5,51,510340,J,6209100,-1,212310,101,9,32,"40,00",3,1,0,1,31,0,0,0,"9361,37",5,0,1,202212,0,5,"9361,37"
202212,3,35,355030,J,6204000,-1,317110,101,8,37,"40,00",3,1,0,1,31,0,0,0,"7000,00",9,0,1,202212,0,5,"7000,00"
202212,3,35,355030,J,6203100,-1,212405,101,9,25,"40,00",1,1,0,1,40,0,0,0,"4200,00",7,0,1,202212,0,5,"4200,00"
202212,3,35,355030,J,6204000,1,212405,101,9,47,"40,00",1,1,0,1,97,0,0,0,"9900,00",9,0,1,202212,0,5,"9900,00"
202212,3,31,310620,J,6202300,-1,212405,101,80,39,"40,00",1,3,0,1,40,0,0,0,"8600,00",7,0,1,202212,0,5,"8600,00"
202212,2,29,292740,J,6201501,1,212420,101,9,33,"40,00",1,1,0,1,97,0,0,0,"9000,00",7,0,1,202212,0,5,"9000,00"
202212,3,35,355030,J,6202300,-1,212410,101,7,25,"40,00",1,3,0,1,31,0,0,0,"2455,68",7,0,1,202212,0,5,"2455,68"
202212,3,35,355030,J,6203100,1,212420,101,8,19,"40,00",6,1,0,1,97,0,0,0,"2200,00",5,0,1,202212,0,5,"2200,00"
202212,3,31,313170,J,6209100,1,212410,101,7,33,"40,00",1,1,0,1,97,0,0,0,"4000,00",2,0,1,202212,0,5,"4000,00"
202212,4,41,410690,J,6201501,1,212405,101,8,25,"40,00",1,1,0,1,97,0,0,0,"2700,00",4,0,1,202212,0,5,"2700,00"
