competênciamov,região,uf,município,seção,subclasse,saldomovimentação,cbo2002ocupação,categoria,graudeinstrução,idade,horascontratuais,raçacor,sexo,tipoempregador,tipoestabelecimento,tipomovimentação,tipodedeficiência,indtrabintermitente,indtrabparcial,salário,tamestabjan,indicadoraprendiz,origemdainformação,competênciadec,indicadordeforadoprazo,unidadesaláriocódigo,valorsaláriofixo
202412,2,26,261160,J,6201501,1,212405,101,9,65,"40,00",4,1,0,1,97,0,0,0,"8601,15",1,0,1,202412,0,5,"8601,15"
202412,3,35,355030,J,6202300,-1,212405,101,8,27,"40,00",1,3,0,1,31,0,0,0,"3000,00",7,0,1,202412,0,5,"3000,00"
202412,3,35,350570,J,6311900,1,142520,101,80,35,"40,00",1,1,0,1,97,0,0,0,"10000,00",6,0,1,202412,0,5,"10000,00"
202412,4,42,421050,J,6203100,1,317210,101,9,34,"44,00",1,3,0,1,97,0,0,0,"3970,00",2,0,1,202412,0,5,"3970,00"
202412,3,35,355030,J,6201501,1,317210,101,9,22,"40,00",3,3,0,1,97,0,0,0,"2678,00",6,0,1,202412,0,5,"2678,00"
202412,2,26,261160,J,6201501,-1,212405,101,9,37,"40,00",1,1,0,1,31,0,0,0,"7725,60",8,0,1,202412,0,5,"7725,60"
202412,3,35,355030,J,6311900,-1,212415,101,9,48,"40,00",1,1,0,1,31,0,0,0,"10111,80",2,0,1,202412,0,5,"10111,80"
202412,3,35,355030,J,6204000,-1,212420,101,8,33,"40,00",3,1,0,1,40,0,0,0,"4000,00",2,0,1,202412,0,5,"4000,00"
202412,3,35,355030,J,6204000,-1,142520,101,9,56,"40,00",1,1,0,1,31,0,0,0,"10000,00",5,0,1,202412,0,5,"10000,00"
202412,3,32,320530,J,6209100,1,212420,101,7,27,"40,00",3,1,0,1,97,0,0,0,"4300,00",9,0,1,202412,0,5,"4300,00"
202412,3,35,355030,J,6202300,-1,212405,101,9,33,"40,00",1,1,0,1,31,0,0,0,"15500,00",6,0,1,202412,0,5,"15500,00"
202412,4,43,431490,J,6209100,-1,212310,101,9,37,"44,00",1,1,0,1,31,0,0,0,"3807,14",7,0,1,202412,0,5,"3807,14"
