competênciamov,região,uf,município,seção,subclasse,saldomovimentação,cbo2002ocupação,categoria,graudeinstrução,idade,horascontratuais,raçacor,sexo,tipoempregador,tipoestabelecimento,tipomovimentação,tipodedeficiência,indtrabintermitente,indtrabparcial,salário,tamestabjan,indicadoraprendiz,origemdainformação,competênciadec,indicadordeforadoprazo,unidadesaláriocódigo,valorsaláriofixo
202404,3,35,355030,J,6209100,1,317210,101,8,28,"40,00",2,1,0,1,97,0,0,0,"2600,00",10,0,1,202404,0,5,"2600,00"
202404,5,53,530010,J,6204000,-1,212405,101,9,39,"40,00",2,3,0,1,40,0,0,0,"7000,00",7,0,1,202404,0,5,"7000,00"
202404,3,31,310620,J,6201501,-1,212405,101,9,34,"40,00",1,1,0,1,40,0,0,0,"7262,05",7,0,1,202404,0,5,"7262,05"
202404,3,31,310620,J,6201501,1,212215,101,9,36,"40,00",1,1,0,1,97,0,0,0,"15500,00",8,0,1,202404,0,5,"15500,00"
202404,3,33,330455,J,6209100,1,317110,101,7,26,"40,00",1,3,0,1,97,0,0,0,"3095,45",4,0,1,202404,0,5,"3095,45"
202404,4,43,430510,J,6202300,-1,212405,101,9,27,"40,00",1,1,0,1,31,0,0,0,"5500,87",6,0,1,202404,0,5,"5500,87"
202404,3,35,355030,J,6201501,1,212405,101,7,20,"40,00",2,3,0,1,97,0,0,0,"4032,00",8,0,1,202404,0,5,"4032,00"
202404,3,35,355030,J,6203100,1,212405,101,8,26,"40,00",1,3,0,1,97,0,0,0,"5821,95",4,0,1,202404,0,5,"5821,95"
202404,4,42,420910,J,6202300,1,212420,101,9,30,"40,00",3,1,0,1,97,0,0,0,"2568,00",8,0,1,202404,0,5,"2568,00"
202404,3,35,355220,J,6201501,-1,212405,101,9,36,"40,00",3,1,0,1,31,0,0,0,"6054,36",5,0,1,202404,0,5,"6054,36"
202404,3,31,310620,J,6204000,1,212405,101,9,36,"40,00",1,3,0,1,97,0,0,0,"9618,08",10,0,1,202404,0,5,"9618,08"
202404,3,35,350570,J,6201501,-1,317110,101,9,34,"40,00",3,1,0,1,40,0,0,0,"5998,34",10,0,1,202404,0,5,"5998,34"
202404,3,31,310620,J,6202300,1,212410,101,9,31,"40,00",1,3,0,1,97,0,0,0,"9243,00",8,0,1,202404,0,5,"9243,00"
202404,3,35,350950,J,6201501,1,212405,101,9,21,"44,00",1,1,0,1,97,0,0,9,"3581,00",10,0,1,202404,0,5,"3581,00"
202404,5,53,530010,J,6201501,1,212410,101,9,25,"44,00",2,3,0,1,97,0,0,0,"3573,58",10,0,1,202404,0,5,"3573,58"
202404,2,23,230440,J,6202300,-1,317110,101,9,25,"44,00",3,1,0,1,40,0,0,0,"8755,31",8,0,1,202404,0,5,"8755,31"
202404,4,43,431690,J,6209100,-1,212305,101,9,27,"40,00",1,1,0,1,40,0,0,0,"4857,37",7,0,1,202404,0,5,"4857,37"
202404,3,31,310620,J,6201501,-1,212405,101,8,35,"44,00",2,1,0,1,40,0,0,0,"3210,54",2,0,1,202404,0,5,"3210,54"
202404,5,53,530010,J,6204000,1,317210,101,9,24,"40,00",1,3,0,1,97,0,0,0,"1821,35",8,0,1,202404,0,5,"1821,35"
202404,3,35,355030,J,6311900,1,212210,101,8,28,"40,00",1,1,0,1,97,0,0,0,"6500,00",5,0,1,202404,0,5,"6500,00"
202404,3,35,354890,J,6201501,1,317110,101,8,30,"40,00",1,1,0,1,97,0,0,0,"9800,50",6,0,1,202404,0,5,"9800,50"
202404,3,35,355030,J,6311900,-1,317210,101,8,24,"36,00",1,1,0,1,31,0,0,0,"1549,20",9,0,1,202404,0,5,"1549,20"
202404,3,31,314790,J,6201501,1,317210,101,7,22,"45,00",2,1,0,1,97,0,0,0,"2200,00",2,0,1,202404,0,5,"2200,00"
202404,4,42,420910,J,6202300,1,317110,101,8,19,"40,00",1,1,0,1,97,0,0,0,"3500,00",5,0,1,202404,0,5,"3500,00"
202404,2,23,230440,J,6209100,-1,212310,101,9,47,"44,00",3,1,0,1,31,0,0,0,"3784,67",9,0,1,202404,0,5,"3784,67"
202404,3,35,352900,J,6201501,-1,317210,101,7,27,"40,00",1,1,0,1,40,1,0,0,"2332,03",8,0,1,202404,0,5,"2332,03"
202404,5,53,530010,J,6201501,1,212405,101,9,32,"44,00",1,1,0,1,97,0,0,0,"9000,00",10,0,1,202404,0,5,"9000,00"
202404,3,31,310620,J,6202300,1,317210,101,9,29,"40,00",1,1,0,1,97,0,0,0,"2513,44",8,0,1,202404,0,5,"2513,44"
