competênciamov,região,uf,município,seção,subclasse,saldomovimentação,cbo2002ocupação,categoria,graudeinstrução,idade,horascontratuais,raçacor,sexo,tipoempregador,tipoestabelecimento,tipomovimentação,tipodedeficiência,indtrabintermitente,indtrabparcial,salário,tamestabjan,indicadoraprendiz,origemdainformação,competênciadec,indicadordeforadoprazo,unidadesaláriocódigo,valorsaláriofixo
202501,3,35,355030,J,6203100,-1,212405,101,80,39,"40,00",4,1,0,1,40,0,0,0,"16000,00",10,0,1,202501,0,5,"16000,00"
202501,3,35,355030,J,6204000,1,212215,101,80,38,"44,00",1,1,0,1,97,0,0,9,"32000,00",9,0,1,202501,0,5,"32000,00"
202501,3,35,355030,J,6201501,1,212405,101,8,19,"44,00",3,1,0,1,97,0,0,9,"3800,00",10,0,1,202501,0,5,"3800,00"
202501,4,41,410720,J,6209100,-1,317110,101,8,20,"44,00",1,1,0,1,40,0,0,0,"3560,00",5,0,1,202501,0,5,"3560,00"
202501,2,26,261160,J,6203100,1,212405,101,9,23,"40,00",1,1,0,1,97,0,0,0,"2700,00",8,0,1,202501,0,5,"2700,00"
202501,3,35,354340,J,6202300,1,317110,101,9,21,"40,00",1,1,0,1,97,0,0,0,"2352,09",5,0,1,202501,0,5,"2352,09"
202501,3,35,355030,J,6204000,-1,317210,101,7,21,"36,00",3,3,0,1,43,0,0,0,"1646,00",10,0,1,202501,0,5,"1646,00"
202501,4,43,431410,J,6201501,-1,317110,101,8,35,"40,00",1,1,0,1,40,0,0,0,"8415,84",10,0,1,202501,0,5,"8415,84"
202501,3,35,355030,J,6209100,-1,317210,101,9,47,"40,00",4,3,0,1,31,0,0,0,"2536,85",8,0,1,202501,0,5,"2536,85"
202501,4,42,420420,J,6203100,-1,212420,101,8,40,"40,00",1,1,0,1,40,1,0,0,"5535,00",8,0,1,202501,0,5,"5535,00"
202501,4,43,431410,J,6201501,-1,317110,101,8,23,"40,00",3,1,0,1,31,0,0,0,"2621,77",10,0,1,202501,0,5,"2621,77"
202501,3,35,355030,J,6204000,1,212405,101,9,29,"40,00",1,1,0,1,97,0,0,0,"8200,00",8,0,1,202501,0,5,"8200,00"
202501,3,31,315180,J,6203100,1,212420,101,9,26,"44,00",1,3,0,1,97,0,0,0,"3218,23",5,0,1,202501,0,5,"3218,23"
202501,3,33,330455,J,6204000,1,212410,101,80,42,"40,00",1,1,0,1,97,0,0,0,"5000,00",5,0,1,202501,0,5,"5000,00"
202501,3,35,355030,J,6201501,1,142520,101,80,27,"40,00",1,1,0,1,97,0,0,0,"13900,00",7,0,1,202501,0,5,"13900,00"
202501,4,41,411915,J,6209100,1,212410,101,7,42,"36,00",3,3,0,1,97,0,0,0,"1935,00",9,0,1,202501,0,5,"1935,00"
202501,3,35,350160,J,6203100,1,212405,101,8,23,"40,00",1,3,0,1,97,0,0,0,"2245,00",4,0,1,202501,0,5,"2245,00"
202501,3,31,314480,J,6201501,-1,212405,101,7,26,"44,00",3,1,0,1,43,0,0,9,"4000,00",6,0,1,202501,0,5,"4000,00"
202501,3,31,310620,J,6201501,1,212405,101,8,34,"44,00",1,1,0,1,97,0,0,9,"14081,00",9,0,1,202501,0,5,"14081,00"
202501,3,31,310620,J,6201501,-1,212425,101,7,31,"40,00",3,1,0,1,31,0,0,0,"4020,47",6,0,1,202501,0,5,"4020,47"
202501,3,35,355030,J,6204000,-1,212405,101,9,66,"40,00",4,3,0,1,40,0,0,0,"16602,49",10,0,1,202501,0,5,"16602,49"
202501,3,31,311860,J,6202300,-1,317210,101,7,23,"44,00",3,1,0,1,31,0,0,0,"2091,52",5,0,1,202501,0,5,"2091,52"
202501,4,43,431440,J,6201501,-1,317110,101,7,24,"40,00",1,1,0,1,40,0,0,0,"11742,40",5,0,1,202501,0,5,"11742,40"
202501,3,35,354730,J,6204000,-1,212405,101,8,26,"44,00",3,1,0,1,31,0,0,9,"3349,55",5,0,1,202501,0,5,"3349,55"
202501,3,35,350950,J,6311900,1,212420,101,9,39,"44,00",1,1,0,1,97,0,0,0,"3678,10",5,0,1,202501,0,5,"3678,10"
202501,3,31,310620,J,6209100,1,317210,101,8,22,"44,00",1,1,0,1,97,0,0,0,"2567,98",9,0,1,202501,0,5,"2567,98"
202501,3,33,330455,J,6204000,-1,212405,101,9,34,"44,00",3,3,0,1,31,0,0,0,"5210,00",2,0,1,202501,0,5,"5210,00"
202501,3,33,330455,J,6209100,1,212405,101,9,27,"44,00",1,1,0,1,97,0,0,0,"5200,00",5,0,1,202501,0,5,"5200,00"
202501,2,29,292740,J,6201501,-1,212405,101,7,25,"40,00",3,1,0,1,40,0,0,0,"7718,75",9,0,1,202501,0,5,"7718,75"
202501,3,35,355030,J,6209100,1,212410,101,80,29,"44,00",3,1,0,1,97,0,0,9,"3500,00",4,0,1,202501,0,5,"3500,00"
202501,3,35,355030,J,6201501,1,212410,101,8,35,"40,00",2,1,0,1,97,0,0,0,"10146,78",6,0,1,202501,0,5,"10146,78"
202501,3,35,355030,J,6209100,1,212405,101,11,40,"40,00",1,3,0,1,97,0,0,0,"13000,00",9,0,1,202501,0,5,"13000,00"
202501,4,43,431490,J,6201501,1,212405,101,9,34,"40,00",2,3,0,1,97,0,0,0,"7300,00",8,0,1,202501,0,5,"7300,00"
202501,2,29,292740,J,6204000,-1,212405,101,9,25,"40,00",3,1,0,1,40,0,0,0,"7500,00",9,0,1,202501,0,5,"7500,00"
202501,3,35,352470,J,6201501,1,212405,101,9,38,"40,00",2,3,0,1,97,0,0,0,"6000,00",10,0,1,202501,0,5,"6000,00"
202501,3,35,350950,J,6204000,1,212410,101,8,66,"40,00",1,1,0,1,97,0,0,0,"5500,00",10,0,1,202501,0,5,"5500,00"
202501,4,41,410690,J,6204000,-1,212420,101,8,27,"44,00",1,1,0,1,40,0,0,0,"2500,00",6,0,1,202501,0,5,"2500,00"
202501,4,41,411520,J,6201501,1,212405,101,80,32,"44,00",3,3,0,1,97,0,0,9,"6694,02",5,0,1,202501,0,5,"6694,02"
202501,2,23,230440,J,6311900,1,317210,101,7,18,"44,00",1,3,0,1,97,0,0,0,"1707,00",6,0,1,202501,0,5,"1707,00"
202501,3,35,350410,J,6201501,1,212405,101,8,25,"40,00",1,1,0,1,97,0,0,0,"2435,86",7,0,1,202501,0,5,"2435,86"
202501,3,35,355030,J,6209100,-1,212420,101,9,34,"40,00",3,1,0,1,40,0,0,0,"14800,32",7,0,1,202501,0,5,"14800,32"
202501,4,43,431410,J,6201501,1,317110,101,8,20,"20,00",1,1,0,1,97,0,0,0,"1310,90",10,0,1,202501,0,5,"1310,90"
202501,3,35,350950,J,6201501,-1,212405,101,9,34,"44,00",1,1,0,1,40,0,0,9,"7325,00",10,0,1,202501,0,5,"7325,00"
202501,4,43,431410,J,6201501,-1,317110,101,8,25,"30,00",1,1,0,1,31,0,0,0,"2621,77",10,0,1,202501,0,5,"2621,77"
202501,3,33,330580,J,6209100,1,317210,101,7,26,"40,00",1,1,0,1,97,0,0,0,"1859,00",10,0,1,202501,0,5,"1859,00"
202501,3,35,355030,J,6209100,-1,212405,101,7,26,"40,00",3,1,0,1,40,0,0,0,"8173,00",8,0,1,202501,0,5,"8173,00"
202501,3,35,355030,J,6204000,-1,212420,101,7,18,"40,00",3,3,0,1,40,0,0,0,"1615,00",3,0,1,202501,0,5,"1615,00"
202501,3,35,354910,J,6202300,1,212405,101,9,26,"44,00",1,1,0,1,97,0,0,0,"4200,00",2,0,1,202501,0,5,"4200,00"
202501,3,35,355030,J,6201501,1,212405,101,80,51,"40,00",1,1,0,1,97,0,0,0,"11190,00",10,0,1,202501,0,5,"11190,00"
202501,4,43,431490,J,6209100,1,212405,101,7,32,"40,00",1,1,0,1,97,0,0,0,"2352,09",10,0,1,202501,0,5,"2352,09"
202501,3,31,310620,J,6202300,1,212420,101,9,26,"40,00",1,1,0,1,97,0,0,0,"9000,00",9,0,1,202501,0,5,"9000,00"
