competênciamov,região,uf,município,seção,subclasse,saldomovimentação,cbo2002ocupação,categoria,graudeinstrução,idade,horascontratuais,raçacor,sexo,tipoempregador,tipoestabelecimento,tipomovimentação,tipodedeficiência,indtrabintermitente,indtrabparcial,salário,tamestabjan,indicadoraprendiz,origemdainformação,competênciadec,indicadordeforadoprazo,unidadesaláriocódigo,valorsaláriofixo
202505,5,53,530010,J,6203100,1,317210,101,9,39,"40,00",3,1,0,1,97,0,0,0,"2200,00",10,0,1,202505,0,5,"2200,00"
202505,4,42,420910,J,6201501,-1,212405,101,6,41,"40,00",1,3,0,1,31,0,0,0,"2279,03",6,0,1,202505,0,5,"2279,03"
202505,4,42,420540,J,6201501,1,212405,101,7,24,"44,00",1,1,0,1,97,0,0,0,"12600,00",10,0,1,202505,0,5,"12600,00"
202505,3,31,310620,J,6201501,1,317110,101,9,33,"40,00",1,1,0,1,97,0,0,0,"7787,50",8,0,1,202505,0,5,"7787,50"
202505,3,31,317020,J,6209100,1,212410,101,7,24,"40,00",3,1,0,1,97,0,0,0,"3413,72",9,0,1,202505,0,5,"3413,72"
202505,3,35,355030,J,6204000,1,212420,101,8,20,"40,00",1,1,0,1,97,0,0,0,"4500,00",6,0,1,202505,0,5,"4500,00"
202505,3,31,316940,J,6202300,-1,212420,101,80,36,"44,00",2,1,0,1,40,0,0,0,"3066,10",4,0,1,202505,0,5,"3066,10"
202505,4,42,420540,J,6201501,1,212405,101,9,29,"44,00",1,1,0,1,97,0,0,0,"12657,00",10,0,1,202505,0,5,"12657,00"
202505,4,43,431410,J,6201501,1,317110,101,8,24,"40,00",3,1,0,1,97,0,0,0,"6679,98",10,0,1,202505,0,5,"6679,98"
202505,3,35,350950,J,6201501,-1,142510,101,9,43,"44,00",1,1,0,1,40,0,0,9,"10052,68",6,0,1,202505,0,5,"10052,68"
202505,3,35,355030,J,6201501,-1,212405,101,9,41,"40,00",2,1,0,1,40,0,0,0,"7610,97",10,0,1,202505,0,5,"7610,97"
202505,5,53,530010,J,6201501,-1,317110,101,9,27,"40,00",1,1,0,1,40,0,0,0,"6701,85",10,0,1,202505,0,5,"6701,85"
202505,5,53,530010,J,6203100,1,212405,101,9,46,"44,00",1,1,0,1,97,0,0,0,"7877,00",9,0,1,202505,0,5,"7877,00"
202505,4,42,420540,J,6202300,-1,212420,101,9,30,"40,00",1,1,0,1,31,0,0,0,"5057,05",6,0,1,202505,0,5,"5057,05"
202505,3,35,350320,J,6204000,-1,212405,101,9,36,"40,00",1,1,0,1,40,0,0,0,"9664,40",1,0,1,202505,0,5,"9664,40"
