competênciamov,região,uf,município,seção,subclasse,saldomovimentação,cbo2002ocupação,categoria,graudeinstrução,idade,horascontratuais,raçacor,sexo,tipoempregador,tipoestabelecimento,tipomovimentação,tipodedeficiência,indtrabintermitente,indtrabparcial,salário,tamestabjan,indicadoraprendiz,origemdainformação,competênciadec,indicadordeforadoprazo,unidadesaláriocódigo,valorsaláriofixo
202312,4,43,431490,J,6204000,-1,212420,101,9,24,"44,00",1,1,0,1,31,0,0,0,"3417,95",7,0,1,202312,0,5,"3417,95"
202312,3,35,352050,J,6204000,1,212405,101,9,29,"36,00",1,1,0,1,97,0,0,0,"8000,00",5,0,1,202312,0,5,"8000,00"
202312,5,53,530010,J,6209100,-1,317110,101,9,23,"44,00",3,1,0,1,40,0,0,0,"5000,00",3,0,1,202312,0,5,"5000,00"
202312,4,42,420240,J,6201501,1,317210,101,7,18,"20,00",1,1,0,1,97,0,0,1,"900,00",6,0,1,202312,0,5,"900,00"
202312,3,32,320530,J,6209100,1,212405,101,9,33,"40,00",3,1,0,1,97,0,0,0,"6000,00",9,0,1,202312,0,5,"6000,00"
202312,4,41,411850,J,6209100,-1,212420,101,9,33,"44,00",1,3,0,1,40,0,0,0,"2000,00",4,0,1,202312,0,5,"2000,00"
202312,3,31,310620,J,6201502,1,212410,101,9,30,"40,00",1,1,0,1,97,0,0,0,"2200,00",3,0,1,202312,0,5,"2200,00"
202312,3,35,355030,J,6201501,-1,212405,101,10,26,"40,00",2,1,0,1,40,0,0,0,"3718,40",7,0,1,202312,0,5,"3718,40"
202312,5,53,530010,J,6203100,-1,212420,101,9,22,"44,00",3,1,0,1,40,0,0,0,"2819,06",7,0,1,202312,0,5,"2819,06"
202312,3,33,330455,J,6201501,1,212415,101,8,22,"40,00",1,1,0,1,97,0,0,0,"5900,00",10,0,1,202312,0,5,"5900,00"
202312,3,35,355030,J,6203100,1,212420,101,8,36,"36,00",1,1,0,1,97,0,0,0,"3300,00",8,0,1,202312,0,5,"3300,00"
202312,3,35,350280,J,6202300,1,212405,101,9,35,"40,00",3,1,0,1,97,0,0,0,"3800,00",9,0,1,202312,0,5,"3800,00"
202312,3,35,355030,J,6201501,-1,317110,101,9,45,"44,00",1,1,0,1,40,0,0,9,"21726,00",9,0,1,202312,0,5,"21726,00"
202312,5,53,530010,J,6209100,-1,317210,101,8,34,"40,00",1,1,0,1,31,0,0,0,"3177,90",8,0,1,202312,0,5,"3177,90"
202312,3,31,313670,J,6209100,-1,317110,101,8,32,"40,00",1,1,0,1,31,0,0,0,"5400,00",3,0,1,202312,0,5,"5400,00"
