competênciamov,região,uf,município,seção,subclasse,saldomovimentação,cbo2002ocupação,categoria,graudeinstrução,idade,horascontratuais,raçacor,sexo,tipoempregador,tipoestabelecimento,tipomovimentação,tipodedeficiência,indtrabintermitente,indtrabparcial,salário,tamestabjan,indicadoraprendiz,origemdainformação,competênciadec,indicadordeforadoprazo,unidadesaláriocódigo,valorsaláriofixo
202301,5,53,530010,J,6204000,1,317110,101,9,34,"40,00",3,1,0,1,97,0,0,0,"13000,00",7,0,1,202301,0,5,"13000,00"
202301,3,35,355030,J,6209100,1,212315,101,9,41,"40,00",1,1,0,1,97,0,0,0,"11000,00",7,0,1,202301,0,5,"11000,00"
202301,3,35,355030,J,6209100,-1,317210,101,8,25,"40,00",6,1,0,1,40,0,0,0,"2400,00",7,0,1,202301,0,5,"2400,00"
202301,4,43,431440,J,6311900,-1,317110,101,9,31,"40,00",6,1,0,1,40,0,0,0,"2036,63",3,0,1,202301,0,5,"2036,63"
202301,2,27,270430,J,6201501,-1,212405,101,8,29,"40,00",3,3,0,1,40,0,0,0,"5707,50",7,0,1,202301,0,5,"5707,50"
202301,3,31,314310,J,6201501,1,212420,101,7,20,"44,00",3,1,0,1,97,0,0,0,"1400,00",3,0,1,202301,0,5,"1400,00"
202301,3,35,350570,J,6209100,-1,142520,101,9,45,"44,00",6,1,0,1,31,0,0,9,"19421,08",10,0,1,202301,0,5,"19421,08"
202301,3,35,355030,J,6209100,-1,212420,101,7,32,"40,00",1,3,0,1,90,0,0,0,"2394,02",4,0,1,202301,0,5,"2394,02"
202301,5,53,530010,J,6201501,1,317210,101,8,22,"44,00",3,1,0,1,97,0,0,0,"1500,00",10,0,1,202301,0,5,"1500,00"
202301,4,43,430850,J,6201501,1,317110,101,80,41,"44,00",6,1,0,1,97,0,0,0,"2500,00",6,0,1,202301,0,5,"2500,00"
202301,3,35,355030,J,6204000,-1,212420,101,7,39,"40,00",6,1,0,1,31,0,0,0,"3950,00",6,0,1,202301,0,5,"3950,00"
202301,3,35,350570,J,6201501,-1,212315,101,9,29,"40,00",1,3,0,1,31,0,0,0,"2100,00",10,0,1,202301,0,5,"2100,00"
202301,3,31,317020,J,6201501,-1,142510,101,80,38,"40,00",1,1,0,1,43,0,0,0,"16000,00",10,0,1,202301,0,5,"16000,00"
202301,3,35,352470,J,6201501,1,212405,101,8,53,"40,00",3,1,0,1,97,0,0,0,"11000,00",10,0,1,202301,0,5,"11000,00"
202301,3,31,313670,J,6201501,1,317110,101,9,21,"44,00",1,3,0,1,97,0,0,0,"4000,00",6,0,1,202301,0,5,"4000,00"
202301,4,43,431680,J,6202300,1,317210,101,7,29,"44,00",1,1,0,1,97,0,0,0,"1550,00",4,0,1,202301,0,5,"1550,00"
202301,3,31,313820,J,6202300,-1,212405,101,7,21,"44,00",6,1,0,1,40,0,0,0,"1750,00",3,0,1,202301,0,5,"1750,00"
202301,3,35,355030,J,6202300,1,212425,101,80,30,"40,00",1,1,0,1,97,0,0,0,"14000,00",6,0,1,202301,0,5,"14000,00"
202301,2,23,230428,J,6209100,1,212405,101,8,21,"30,00",3,1,0,1,97,0,0,0,"1352,24",4,0,1,202301,0,5,"1352,24"
202301,3,35,355030,J,6203100,1,212420,101,9,36,"40,00",1,3,0,1,97,0,0,0,"6854,00",10,0,1,202301,0,5,"6854,00"
202301,3,35,352690,J,6202300,1,317110,101,7,18,"44,00",6,1,0,1,97,0,0,0,"2314,17",3,0,1,202301,0,5,"2314,17"
202301,3,35,355030,J,6209100,-1,212420,101,9,34,"40,00",3,1,0,1,40,0,0,0,"3063,18",7,0,1,202301,0,5,"3063,18"
202301,3,35,355030,J,6201501,1,212405,101,9,31,"40,00",1,1,0,1,97,0,0,0,"11000,00",7,0,1,202301,0,5,"11000,00"
202301,3,35,355030,J,6201501,1,212430,101,8,32,"40,00",1,1,0,1,97,0,0,0,"4000,00",5,0,1,202301,0,5,"4000,00"
202301,5,53,530010,J,6201501,-1,212420,101,9,41,"44,00",1,1,0,1,31,0,0,0,"12666,96",9,0,1,202301,0,5,"12666,96"
202301,4,43,431410,J,6201501,-1,317110,101,9,37,"40,00",1,1,0,1,40,0,0,0,"8985,87",10,0,1,202301,0,5,"8985,87"
202301,5,52,520140,J,6202300,1,317210,101,7,26,"44,00",1,1,0,1,97,0,0,0,"1326,00",4,0,1,202301,0,5,"1326,00"
202301,3,35,351620,J,6202300,1,212420,101,7,25,"44,00",6,3,0,1,97,0,0,0,"1462,72",2,0,1,202301,0,5,"1462,72"
202301,3,35,355030,J,6202300,-1,212410,101,8,24,"40,00",1,3,0,1,31,0,0,0,"5926,69",9,0,1,202301,0,5,"5926,69"
202301,3,35,350570,J,6209100,1,212420,101,9,27,"40,00",3,1,0,1,97,0,0,0,"2262,66",9,0,1,202301,0,5,"2262,66"
202301,5,53,530010,J,6209100,1,317110,101,8,23,"44,00",6,1,0,1,97,0,0,0,"5000,00",3,0,1,202301,0,5,"5000,00"
202301,3,35,355030,J,6201501,-1,212205,101,80,37,"40,00",4,1,0,1,40,0,0,0,"13064,94",6,0,1,202301,0,5,"13064,94"
202301,3,35,355030,J,6201501,1,212405,101,9,26,"40,00",3,3,0,1,97,0,0,0,"5169,00",8,0,1,202301,0,5,"5169,00"
202301,4,43,431490,J,6204000,1,317110,101,8,23,"40,00",6,1,0,1,97,0,0,0,"2300,00",5,0,1,202301,0,5,"2300,00"
202301,2,29,292740,J,6201501,-1,317210,101,7,24,"28,75",3,3,0,1,31,0,0,0,"1316,76",4,0,1,202301,0,5,"1316,76"
202301,2,26,261160,J,6201501,1,212405,101,9,26,"40,00",1,1,0,1,97,0,0,0,"11000,00",8,0,1,202301,0,5,"11000,00"
202301,2,26,261160,J,6203100,1,317210,101,9,26,"40,00",6,1,0,1,97,0,0,0,"1786,00",6,0,1,202301,0,5,"1786,00"
202301,3,35,354730,J,6209100,-1,317210,101,8,21,"36,00",3,1,0,1,31,0,0,0,"1487,01",9,0,1,202301,0,5,"1487,01"
202301,3,31,314300,J,6311900,-1,317110,101,8,22,"40,00",6,1,0,1,31,0,0,0,"2000,00",6,0,1,202301,0,5,"2000,00"
202301,3,35,350160,J,6201501,1,212410,101,9,40,"40,00",3,1,0,1,97,0,0,0,"3580,36",9,0,1,202301,0,5,"3580,36"
202301,3,33,330455,J,6201501,-1,212405,101,8,34,"40,00",3,3,0,1,40,0,0,0,"4005,00",7,0,1,202301,0,5,"4005,00"
202301,3,31,310620,J,6209100,1,317210,101,9,47,"44,00",6,3,0,1,97,0,0,0,"3500,00",5,0,1,202301,0,5,"3500,00"
202301,4,43,431870,J,6201501,-1,317110,101,8,21,"44,00",1,1,0,1,31,0,0,0,"3100,00",2,0,1,202301,0,5,"3100,00"
202301,3,35,350570,J,6202300,1,317105,101,8,22,"44,00",6,1,0,1,97,0,0,0,"1802,55",5,0,1,202301,0,5,"1802,55"
202301,3,35,353440,J,6202300,-1,317210,101,9,30,"40,00",3,3,0,1,40,0,0,0,"2400,00",5,0,1,202301,0,5,"2400,00"
202301,5,53,530010,J,6201501,-1,212405,101,9,38,"44,00",3,1,0,1,40,0,0,0,"4283,20",10,0,1,202301,0,5,"4283,20"
202301,3,33,330630,J,6209100,-1,212405,101,9,37,"40,00",3,1,0,1,40,0,0,0,"7358,00",6,0,1,202301,0,5,"7358,00"
