competênciamov,região,uf,município,seção,subclasse,saldomovimentação,cbo2002ocupação,categoria,graudeinstrução,idade,horascontratuais,raçacor,sexo,tipoempregador,tipoestabelecimento,tipomovimentação,tipodedeficiência,indtrabintermitente,indtrabparcial,salário,tamestabjan,indicadoraprendiz,origemdainformação,competênciadec,indicadordeforadoprazo,unidadesaláriocódigo,valorsaláriofixo
202307,3,35,355030,J,6202300,1,142520,101,80,45,"40,00",1,1,0,1,97,0,0,0,"8274,40",7,0,1,202307,0,5,"8274,40"
202307,1,13,130260,J,6209100,-1,212405,101,9,30,"44,00",1,1,0,1,40,0,0,0,"2120,17",6,0,1,202307,0,5,"2120,17"
202307,4,43,430510,J,6202300,1,317110,101,8,31,"42,00",1,1,0,1,97,0,0,0,"8300,00",8,0,1,202307,0,5,"8300,00"
202307,4,41,411850,J,6203100,-1,142520,101,8,34,"44,00",3,3,0,1,31,0,0,0,"4576,00",8,0,1,202307,0,5,"4576,00"
202307,5,50,500270,J,6203100,-1,317210,101,8,21,"44,00",6,1,0,1,40,0,0,0,"1900,00",2,0,1,202307,0,5,"1900,00"
202307,3,31,310620,J,6202300,-1,317210,101,8,25,"40,00",1,1,0,1,31,0,0,0,"2289,20",8,0,1,202307,0,5,"2289,20"
202307,3,33,330330,J,6203100,1,317210,101,8,23,"36,00",2,1,0,1,97,0,0,0,"1715,16",6,0,1,202307,0,5,"1715,16"
202307,3,33,330455,J,6201501,1,212405,101,9,42,"40,00",3,1,0,1,97,0,0,0,"8000,00",8,0,1,202307,0,5,"8000,00"
202307,2,29,292740,J,6209100,-1,212405,101,8,26,"44,00",3,1,0,1,31,0,0,0,"2050,00",5,0,1,202307,0,5,"2050,00"
202307,3,35,354990,J,6203100,1,317210,101,9,24,"40,00",1,1,0,1,97,0,0,0,"2154,19",5,0,1,202307,0,5,"2154,19"
202307,3,35,355030,J,6204000,1,212405,101,9,32,"40,00",1,1,0,1,97,0,0,0,"2154,19",5,0,1,202307,0,5,"2154,19"
202307,2,27,270430,J,6202300,-1,317210,101,7,31,"44,00",6,3,0,1,31,0,0,0,"1992,00",6,0,1,202307,0,5,"1992,00"
202307,2,28,280670,J,6209100,1,212405,101,9,38,"44,00",6,1,0,1,97,0,0,0,"7136,02",6,0,1,202307,0,5,"7136,02"
202307,3,31,310620,J,6201501,-1,212405,101,8,22,"40,00",3,1,0,1,40,0,0,0,"3500,00",9,0,1,202307,0,5,"3500,00"
202307,3,35,350160,J,6201501,-1,317210,101,8,51,"36,00",1,1,0,1,31,0,0,0,"1938,77",9,0,1,202307,0,5,"1938,77"
202307,3,35,355410,J,6209100,1,212420,101,7,27,"44,00",1,1,0,1,97,0,0,0,"2200,00",5,0,1,202307,0,5,"2200,00"
